Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Hydrofluoric Acid (HF),35,40,HDPE Plastic,39,Moderate,Face Shield,Outdoor Storage,Corrosion Damage,MEDIUM RISK
Lactic Acid (C₃H₆O₃),22,32,HDPE Plastic,11,Low,"Full Body Protective Suit, Face Shield, Lab Coat, Chemical-resistant Gloves, Safety Goggles",Warehouse,Fire Hazard,MEDIUM RISK
Carbonic Acid (H₂CO₃),86,62,Stainless Steel,39,Moderate,Chemical Suit,Hazardous Material Room,Acid Spill,HIGH RISK
Salicylic Acid (C₇H₆O₃),80,78,PTFE (Teflon-lined),76,Moderate,"Chemical-resistant Gloves, Face Shield, Lab Coat",Warehouse,Corrosion Damage,HIGH RISK
Monochloroacetic Acid (C₂H₃ClO₂),359,96,PTFE (Teflon-lined),104,Fume Hood Ventilation,Eye Wash Station Access,Chemical Storage Room,Fire Hazard,CRITICAL RISK
Gluconic Acid (C₆H₁₂O₇),412,86,Polypropylene,150,Moderate,"Respirator Mask, Safety Goggles, Full Body Protective Suit, Face Shield, Chemical Suit",Cold Storage Unit,Corrosion Damage,CRITICAL RISK
Sulfuric Acid (H₂SO₄),93,71,Carbon Steel (coated),84,High,"Full Body Protective Suit, Safety Boots",Factory Floor,Explosion Risk,HIGH RISK
Peracetic Acid (C₂H₄O₃),87,47,Ceramic Containers,86,Poor,Face Shield,Laboratory,Container Leakage,HIGH RISK
Adipic Acid (C₆H₁₀O₄),23,33,Stainless Steel,29,Moderate,"Full Body Protective Suit, Face Shield",Underground Storage,Fire Hazard,MEDIUM RISK
Succinic Acid (C₄H₆O₄),6,23,PVC (Polyvinyl Chloride),14,Good,"Safety Goggles, Lab Coat",Underground Storage,Container Leakage,LOW RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),74,45,PTFE (Teflon-lined),59,Poor,"Full Body Protective Suit, Gloves",Laboratory,None,HIGH RISK
Boric Acid (H₃BO₃),117,44,Ceramic Containers,73,Moderate,"Chemical-resistant Gloves, Eye Wash Station Access, Lab Coat, Face Shield",Factory Floor,Acid Spill,HIGH RISK
Formic Acid (HCOOH),11,25,Borosilicate Glass,2,Good,"Face Shield, Lab Coat, Eye Wash Station Access, Safety Goggles, Chemical-resistant Gloves",Chemical Storage Room,Toxic Gas Release,LOW RISK
Acetic Acid (CH₃COOH),350,94,PVC (Polyvinyl Chloride),239,Fume Hood Ventilation,"Full Body Protective Suit, Face Shield, Gloves, Eye Wash Station Access",Underground Storage,Acid Burn,CRITICAL RISK
Oxalic Acid (C₂H₂O₄),184,106,Stainless Steel,173,Industrial Ventilation System,"Lab Coat, Safety Boots, Chemical Suit, Respirator Mask",Cold Storage Unit,Toxic Gas Release,CRITICAL RISK
Perchloric Acid (HClO₄),127,49,Glass,65,Poor,"Eye Wash Station Access, Chemical Suit",Cold Storage Unit,Container Leakage,HIGH RISK
Butyric Acid (C₄H₈O₂),487,95,Stainless Steel,89,Industrial Ventilation System,"Full Body Protective Suit, Chemical Suit, Face Shield, Chemical-resistant Gloves, Lab Coat",Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Carbonic Acid (H₂CO₃),338,86,Borosilicate Glass,132,Industrial Ventilation System,"Face Shield, Chemical-resistant Gloves",Outdoor Storage,Fire Hazard,CRITICAL RISK
Perchloric Acid (HClO₄),25,41,Polypropylene,13,Low,"Chemical-resistant Gloves, Chemical Suit, Lab Coat",Underground Storage,Toxic Gas Release,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),15,26,HDPE Plastic,8,Good,"Respirator Mask, Gloves, Chemical Suit",Laboratory,Explosion Risk,LOW RISK
Nitric Acid (HNO₃),105,47,Stainless Steel,76,Fume Hood Ventilation,Safety Boots,Chemical Storage Room,Container Leakage,HIGH RISK
Peracetic Acid (C₂H₄O₃),42,65,Borosilicate Glass,75,Industrial Ventilation System,"Safety Boots, Respirator Mask, Eye Wash Station Access, Full Body Protective Suit, Chemical-resistant Gloves",Chemical Storage Room,None,HIGH RISK
Adipic Acid (C₆H₁₀O₄),57,40,Fiber-Reinforced Plastic (FRP),40,Poor,Eye Wash Station Access,Warehouse,Fire Hazard,MEDIUM RISK
Monochloroacetic Acid (C₂H₃ClO₂),1,18,Borosilicate Glass,12,Industrial Ventilation System,"Safety Boots, Full Body Protective Suit",Laboratory,Container Leakage,LOW RISK
Iodic Acid (HIO₃),148,88,Polypropylene,220,Poor,"Chemical-resistant Gloves, Full Body Protective Suit",Underground Storage,Explosion Risk,CRITICAL RISK
Nitric Acid (HNO₃),19,37,PTFE (Teflon-lined),23,Fume Hood Ventilation,"Safety Boots, Gloves",Cold Storage Unit,Corrosion Damage,MEDIUM RISK
Maleic Acid (C₄H₄O₄),316,70,Fiber-Reinforced Plastic (FRP),124,High,"Chemical Suit, Chemical-resistant Gloves, Safety Boots",Factory Floor,Corrosion Damage,CRITICAL RISK
Hydrofluoric Acid (HF),144,58,HDPE Plastic,44,Low,"Respirator Mask, Safety Goggles, Lab Coat, Safety Boots, Full Body Protective Suit",Warehouse,Corrosion Damage,HIGH RISK
Acetic Acid (CH₃COOH),11,27,PTFE (Teflon-lined),14,Fume Hood Ventilation,"Lab Coat, Chemical-resistant Gloves",Warehouse,Acid Burn,MEDIUM RISK
Periodic Acid (HIO₄),270,76,HDPE Plastic,202,Low,Safety Boots,Laboratory,None,CRITICAL RISK
Trifluoroacetic Acid (CF₃COOH),147,111,Carbon Steel (coated),181,Moderate,"Face Shield, Lab Coat",Hazardous Material Room,Container Leakage,CRITICAL RISK
Hydrofluoric Acid (HF),253,79,Polypropylene,81,High,"Safety Boots, Respirator Mask, Gloves",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Hydrochloric Acid (HCl),122,63,Fiber-Reinforced Plastic (FRP),64,Industrial Ventilation System,Gloves,Cold Storage Unit,Container Leakage,HIGH RISK
Acrylic Acid (C₃H₄O₂),4,24,HDPE Plastic,1,Moderate,"Full Body Protective Suit, Respirator Mask",Cold Storage Unit,Corrosion Damage,LOW RISK
Butyric Acid (C₄H₈O₂),42,40,Stainless Steel,28,Moderate,"Safety Boots, Safety Goggles",Underground Storage,Explosion Risk,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),451,84,PTFE (Teflon-lined),159,Poor,Safety Boots,Underground Storage,Toxic Gas Release,CRITICAL RISK
Citric Acid (C₆H₈O₇),5,16,Glass,0,Poor,"Chemical-resistant Gloves, Safety Goggles",Laboratory,Explosion Risk,LOW RISK
Succinic Acid (C₄H₆O₄),8,27,Polypropylene,0,Fume Hood Ventilation,"Gloves, Respirator Mask, Chemical Suit, Safety Goggles",Cold Storage Unit,None,LOW RISK
Maleic Acid (C₄H₄O₄),460,109,PVC (Polyvinyl Chloride),192,Good,"Full Body Protective Suit, Chemical-resistant Gloves, Chemical Suit, Safety Boots",Underground Storage,Toxic Gas Release,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),278,99,Ceramic Containers,171,Good,"Chemical Suit, Safety Goggles, Chemical-resistant Gloves",Chemical Storage Room,Explosion Risk,CRITICAL RISK
Arsenic Acid (H₃AsO₄),85,54,Polypropylene,43,Fume Hood Ventilation,"Gloves, Respirator Mask, Chemical Suit",Factory Floor,Toxic Gas Release,HIGH RISK
Carbonic Acid (H₂CO₃),92,56,Ceramic Containers,41,Good,"Respirator Mask, Gloves, Safety Goggles, Full Body Protective Suit, Chemical-resistant Gloves",Underground Storage,None,HIGH RISK
Peracetic Acid (C₂H₄O₃),278,73,HDPE Plastic,170,Industrial Ventilation System,Respirator Mask,Hazardous Material Room,Explosion Risk,CRITICAL RISK
Lactic Acid (C₃H₆O₃),46,35,Stainless Steel,25,Fume Hood Ventilation,"Gloves, Chemical-resistant Gloves, Safety Goggles, Face Shield, Respirator Mask",Underground Storage,Container Leakage,MEDIUM RISK
Chromic Acid (H₂CrO₄),21,27,PTFE (Teflon-lined),39,Good,"Gloves, Safety Goggles, Chemical Suit",Laboratory,Corrosion Damage,MEDIUM RISK
Succinic Acid (C₄H₆O₄),275,84,Stainless Steel,140,Moderate,"Chemical Suit, Face Shield",Warehouse,Toxic Gas Release,CRITICAL RISK
Adipic Acid (C₆H₁₀O₄),181,76,HDPE Plastic,193,Good,"Safety Goggles, Respirator Mask, Eye Wash Station Access",Cold Storage Unit,None,CRITICAL RISK
Peracetic Acid (C₂H₄O₃),478,112,Stainless Steel,153,High,"Eye Wash Station Access, Face Shield, Safety Goggles, Respirator Mask",Laboratory,Container Leakage,CRITICAL RISK
Citric Acid (C₆H₈O₇),441,94,PVC (Polyvinyl Chloride),216,Good,"Chemical-resistant Gloves, Safety Boots, Safety Goggles, Lab Coat",Warehouse,None,CRITICAL RISK
Chromic Acid (H₂CrO₄),136,44,Stainless Steel,78,Fume Hood Ventilation,Chemical Suit,Cold Storage Unit,Acid Burn,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),19,28,Polypropylene,10,Low,"Respirator Mask, Chemical Suit, Gloves, Face Shield",Laboratory,Corrosion Damage,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),5,20,PTFE (Teflon-lined),9,Good,"Eye Wash Station Access, Chemical-resistant Gloves, Safety Boots",Cold Storage Unit,Explosion Risk,LOW RISK
Acetic Acid (CH₃COOH),31,39,Ceramic Containers,24,Low,"Full Body Protective Suit, Chemical-resistant Gloves, Safety Goggles",Underground Storage,None,MEDIUM RISK
Picric Acid (C₆H₃N₃O₇),223,70,Glass,166,Fume Hood Ventilation,"Safety Goggles, Full Body Protective Suit, Respirator Mask",Outdoor Storage,None,CRITICAL RISK
Nitric Acid (HNO₃),165,104,PTFE (Teflon-lined),154,Low,Chemical Suit,Warehouse,Container Leakage,CRITICAL RISK
Perchloric Acid (HClO₄),20,33,Fiber-Reinforced Plastic (FRP),20,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves",Underground Storage,None,MEDIUM RISK
Boric Acid (H₃BO₃),381,94,Carbon Steel (coated),187,Fume Hood Ventilation,"Safety Boots, Gloves, Face Shield",Laboratory,Container Leakage,CRITICAL RISK
Lactic Acid (C₃H₆O₃),249,98,PVC (Polyvinyl Chloride),82,Fume Hood Ventilation,Safety Boots,Outdoor Storage,Explosion Risk,CRITICAL RISK
Formic Acid (HCOOH),10,24,Fiber-Reinforced Plastic (FRP),4,Fume Hood Ventilation,"Chemical Suit, Lab Coat, Safety Boots, Safety Goggles",Warehouse,Acid Burn,LOW RISK
Silicic Acid (H₄SiO₄),21,42,Stainless Steel,18,Good,"Eye Wash Station Access, Lab Coat, Safety Boots",Cold Storage Unit,Container Leakage,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),10,42,Glass,28,Fume Hood Ventilation,"Chemical Suit, Eye Wash Station Access, Chemical-resistant Gloves, Lab Coat, Safety Goggles",Outdoor Storage,Acid Spill,MEDIUM RISK
Ascorbic Acid (C₆H₈O₆),194,113,Ceramic Containers,174,Fume Hood Ventilation,"Safety Goggles, Chemical-resistant Gloves, Face Shield",Hazardous Material Room,Container Leakage,CRITICAL RISK
Arsenic Acid (H₃AsO₄),120,63,Glass,35,Low,Lab Coat,Chemical Storage Room,Acid Burn,HIGH RISK
Perchloric Acid (HClO₄),12,28,Carbon Steel (coated),4,Moderate,"Lab Coat, Safety Boots",Outdoor Storage,Explosion Risk,LOW RISK
Oleic Acid (C₁₈H₃₄O₂),53,38,Borosilicate Glass,38,Moderate,"Safety Goggles, Eye Wash Station Access",Cold Storage Unit,Toxic Gas Release,MEDIUM RISK
Maleic Acid (C₄H₄O₄),59,29,Borosilicate Glass,14,Industrial Ventilation System,"Lab Coat, Eye Wash Station Access, Chemical Suit, Gloves, Full Body Protective Suit",Hazardous Material Room,Container Leakage,MEDIUM RISK
Bromic Acid (HBrO₃),15,29,Stainless Steel,14,Poor,Face Shield,Factory Floor,Fire Hazard,LOW RISK
Arsenic Acid (H₃AsO₄),8,24,Polypropylene,2,Poor,Lab Coat,Laboratory,Container Leakage,LOW RISK
Phosphoric Acid (H₃PO₄),4,22,Fiber-Reinforced Plastic (FRP),14,Good,"Face Shield, Safety Goggles, Gloves",Outdoor Storage,None,LOW RISK
Fumaric Acid (C₄H₄O₄),1,15,PVC (Polyvinyl Chloride),3,High,"Lab Coat, Safety Boots",Outdoor Storage,Acid Burn,LOW RISK
Hydrochloric Acid (HCl),9,22,PVC (Polyvinyl Chloride),2,High,"Full Body Protective Suit, Lab Coat, Face Shield, Eye Wash Station Access",Underground Storage,Acid Burn,LOW RISK
Fumaric Acid (C₄H₄O₄),24,42,Polypropylene,34,Industrial Ventilation System,"Lab Coat, Safety Boots, Respirator Mask",Hazardous Material Room,Container Leakage,MEDIUM RISK
Boric Acid (H₃BO₃),5,30,PTFE (Teflon-lined),6,Industrial Ventilation System,"Chemical-resistant Gloves, Eye Wash Station Access, Face Shield",Cold Storage Unit,Toxic Gas Release,LOW RISK
Caproic Acid (C₆H₁₂O₂),451,90,PTFE (Teflon-lined),170,Fume Hood Ventilation,"Lab Coat, Eye Wash Station Access, Full Body Protective Suit, Gloves, Chemical Suit",Outdoor Storage,Explosion Risk,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),39,37,Carbon Steel (coated),16,Industrial Ventilation System,Chemical-resistant Gloves,Hazardous Material Room,Corrosion Damage,MEDIUM RISK
Hypochlorous Acid (HClO),32,35,Ceramic Containers,20,Industrial Ventilation System,"Respirator Mask, Full Body Protective Suit",Warehouse,Container Leakage,MEDIUM RISK
Methacrylic Acid (C₄H₆O₂),10,29,Glass,1,Fume Hood Ventilation,Safety Goggles,Underground Storage,Toxic Gas Release,LOW RISK
Malic Acid (C₄H₆O₅),1,15,PVC (Polyvinyl Chloride),5,High,"Safety Goggles, Chemical Suit, Full Body Protective Suit, Safety Boots, Lab Coat",Outdoor Storage,Container Leakage,LOW RISK
Acrylic Acid (C₃H₄O₂),277,99,Stainless Steel,184,Fume Hood Ventilation,"Gloves, Lab Coat",Underground Storage,Explosion Risk,CRITICAL RISK
Perchloric Acid (HClO₄),295,98,PVC (Polyvinyl Chloride),157,Moderate,Face Shield,Factory Floor,Fire Hazard,CRITICAL RISK
Succinic Acid (C₄H₆O₄),1,18,Stainless Steel,5,Industrial Ventilation System,"Safety Goggles, Respirator Mask, Face Shield",Warehouse,Fire Hazard,LOW RISK
Salicylic Acid (C₇H₆O₃),97,79,PTFE (Teflon-lined),75,Poor,"Face Shield, Lab Coat, Safety Goggles",Chemical Storage Room,Toxic Gas Release,HIGH RISK
Salicylic Acid (C₇H₆O₃),11,36,Ceramic Containers,31,Industrial Ventilation System,Chemical-resistant Gloves,Factory Floor,Acid Burn,MEDIUM RISK
Boric Acid (H₃BO₃),51,41,HDPE Plastic,26,Good,"Safety Boots, Eye Wash Station Access",Cold Storage Unit,Toxic Gas Release,MEDIUM RISK
Silicic Acid (H₄SiO₄),52,40,Glass,31,Good,"Gloves, Safety Goggles",Cold Storage Unit,Acid Burn,MEDIUM RISK
Perchloric Acid (HClO₄),224,108,Stainless Steel,104,Good,"Eye Wash Station Access, Full Body Protective Suit, Safety Boots, Chemical Suit, Chemical-resistant Gloves",Outdoor Storage,None,CRITICAL RISK
Thiocyanic Acid (HSCN),151,71,Polypropylene,50,Low,"Respirator Mask, Lab Coat, Safety Goggles, Full Body Protective Suit",Outdoor Storage,None,HIGH RISK
Butyric Acid (C₄H₈O₂),443,72,PVC (Polyvinyl Chloride),118,Poor,"Lab Coat, Eye Wash Station Access, Respirator Mask, Chemical Suit",Hazardous Material Room,Acid Spill,CRITICAL RISK
Peracetic Acid (C₂H₄O₃),13,27,PVC (Polyvinyl Chloride),9,Moderate,"Gloves, Safety Boots, Face Shield, Safety Goggles",Factory Floor,Explosion Risk,LOW RISK
Hydrochloric Acid (HCl),43,26,Stainless Steel,21,High,"Lab Coat, Respirator Mask, Eye Wash Station Access, Chemical-resistant Gloves",Warehouse,Explosion Risk,MEDIUM RISK
Formic Acid (HCOOH),9,21,PVC (Polyvinyl Chloride),8,Poor,"Lab Coat, Safety Boots, Face Shield",Underground Storage,Acid Burn,LOW RISK
Valeric Acid (C₅H₁₀O₂),103,79,PTFE (Teflon-lined),88,High,"Eye Wash Station Access, Chemical-resistant Gloves, Safety Boots, Face Shield",Warehouse,Toxic Gas Release,HIGH RISK
Fumaric Acid (C₄H₄O₄),14,24,PVC (Polyvinyl Chloride),9,Moderate,Respirator Mask,Outdoor Storage,None,LOW RISK
Carbonic Acid (H₂CO₃),142,46,Stainless Steel,66,Poor,"Face Shield, Lab Coat, Safety Goggles, Chemical Suit, Chemical-resistant Gloves",Underground Storage,Corrosion Damage,HIGH RISK
Succinic Acid (C₄H₆O₄),6,21,PTFE (Teflon-lined),11,High,"Gloves, Face Shield, Safety Boots, Respirator Mask",Chemical Storage Room,Toxic Gas Release,LOW RISK
Tartaric Acid (C₄H₆O₆),10,20,Polypropylene,3,Low,"Safety Goggles, Eye Wash Station Access",Chemical Storage Room,Acid Spill,LOW RISK
Gluconic Acid (C₆H₁₂O₇),308,74,Borosilicate Glass,81,Low,"Face Shield, Safety Goggles",Hazardous Material Room,None,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),9,19,Borosilicate Glass,13,Poor,"Face Shield, Lab Coat",Factory Floor,None,LOW RISK
Tannic Acid (C₇₆H₅₂O₄₆),2,18,PTFE (Teflon-lined),4,Moderate,"Lab Coat, Respirator Mask, Full Body Protective Suit",Chemical Storage Room,Explosion Risk,LOW RISK
Silicic Acid (H₄SiO₄),301,119,HDPE Plastic,224,Industrial Ventilation System,"Chemical Suit, Lab Coat, Full Body Protective Suit, Face Shield",Outdoor Storage,None,CRITICAL RISK
Arsenic Acid (H₃AsO₄),2,19,Glass,15,Low,"Safety Boots, Eye Wash Station Access, Full Body Protective Suit, Chemical Suit, Respirator Mask",Chemical Storage Room,None,LOW RISK
Chloric Acid (HClO₃),40,67,Fiber-Reinforced Plastic (FRP),65,Low,"Chemical-resistant Gloves, Safety Boots",Cold Storage Unit,Acid Burn,HIGH RISK
Propionic Acid (C₃H₆O₂),296,81,Polypropylene,94,Low,"Eye Wash Station Access, Respirator Mask, Safety Goggles, Safety Boots, Gloves",Chemical Storage Room,None,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),455,81,HDPE Plastic,174,Moderate,"Safety Goggles, Safety Boots",Chemical Storage Room,Explosion Risk,CRITICAL RISK
Periodic Acid (HIO₄),69,54,Ceramic Containers,53,Fume Hood Ventilation,"Chemical Suit, Full Body Protective Suit, Face Shield, Respirator Mask, Chemical-resistant Gloves",Factory Floor,Toxic Gas Release,HIGH RISK
Caproic Acid (C₆H₁₂O₂),11,17,Stainless Steel,3,High,"Chemical Suit, Face Shield",Chemical Storage Room,Acid Spill,LOW RISK
Silicic Acid (H₄SiO₄),43,37,Ceramic Containers,39,Low,"Full Body Protective Suit, Chemical-resistant Gloves, Safety Goggles",Underground Storage,Corrosion Damage,MEDIUM RISK
Acetic Acid (CH₃COOH),24,35,Borosilicate Glass,21,High,"Safety Goggles, Face Shield",Underground Storage,Explosion Risk,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),389,107,Carbon Steel (coated),151,High,"Chemical Suit, Respirator Mask",Factory Floor,Fire Hazard,CRITICAL RISK
Boric Acid (H₃BO₃),103,77,Carbon Steel (coated),89,Poor,"Lab Coat, Gloves, Full Body Protective Suit, Safety Goggles, Respirator Mask",Laboratory,Acid Spill,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),37,26,PTFE (Teflon-lined),40,Good,Safety Boots,Hazardous Material Room,Corrosion Damage,MEDIUM RISK
Boric Acid (H₃BO₃),398,77,PVC (Polyvinyl Chloride),159,Low,"Eye Wash Station Access, Chemical-resistant Gloves, Gloves",Factory Floor,Fire Hazard,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),36,38,Glass,33,Fume Hood Ventilation,"Gloves, Lab Coat",Underground Storage,Acid Spill,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),18,32,Carbon Steel (coated),28,Poor,"Gloves, Chemical Suit, Respirator Mask, Safety Boots, Eye Wash Station Access",Cold Storage Unit,Acid Spill,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),34,36,PVC (Polyvinyl Chloride),15,High,Chemical-resistant Gloves,Underground Storage,None,MEDIUM RISK
Malic Acid (C₄H₆O₅),11,27,PVC (Polyvinyl Chloride),4,Fume Hood Ventilation,Chemical Suit,Outdoor Storage,Toxic Gas Release,LOW RISK
Peracetic Acid (C₂H₄O₃),14,22,Ceramic Containers,2,Good,"Face Shield, Safety Goggles",Warehouse,None,LOW RISK
Silicic Acid (H₄SiO₄),47,28,Fiber-Reinforced Plastic (FRP),38,High,"Safety Goggles, Lab Coat, Chemical-resistant Gloves",Warehouse,Corrosion Damage,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),132,63,PVC (Polyvinyl Chloride),78,Poor,"Safety Goggles, Respirator Mask, Chemical Suit",Outdoor Storage,Fire Hazard,HIGH RISK
Bromic Acid (HBrO₃),145,66,Carbon Steel (coated),96,Good,"Safety Boots, Chemical-resistant Gloves, Face Shield",Chemical Storage Room,Explosion Risk,HIGH RISK
Picric Acid (C₆H₃N₃O₇),26,33,PTFE (Teflon-lined),39,Moderate,Respirator Mask,Cold Storage Unit,Acid Spill,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),203,84,PTFE (Teflon-lined),149,High,"Safety Goggles, Chemical Suit",Factory Floor,Toxic Gas Release,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),51,34,Stainless Steel,35,Industrial Ventilation System,"Chemical-resistant Gloves, Safety Boots",Outdoor Storage,Fire Hazard,MEDIUM RISK
Formic Acid (HCOOH),29,27,Ceramic Containers,25,Poor,"Face Shield, Respirator Mask, Safety Boots, Lab Coat",Chemical Storage Room,Acid Burn,MEDIUM RISK
Hypochlorous Acid (HClO),22,45,HDPE Plastic,38,Low,"Chemical Suit, Gloves",Chemical Storage Room,Toxic Gas Release,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),113,58,Borosilicate Glass,75,Fume Hood Ventilation,"Full Body Protective Suit, Eye Wash Station Access",Hazardous Material Room,Corrosion Damage,HIGH RISK
Hydrofluoric Acid (HF),399,89,Ceramic Containers,239,Poor,Eye Wash Station Access,Hazardous Material Room,Container Leakage,CRITICAL RISK
Caproic Acid (C₆H₁₂O₂),143,68,Fiber-Reinforced Plastic (FRP),77,Moderate,"Gloves, Safety Boots, Lab Coat",Laboratory,Acid Burn,HIGH RISK
Hypochlorous Acid (HClO),91,55,PTFE (Teflon-lined),44,Good,"Chemical Suit, Eye Wash Station Access, Face Shield, Lab Coat",Cold Storage Unit,Acid Spill,HIGH RISK
Tartaric Acid (C₄H₆O₆),11,40,PVC (Polyvinyl Chloride),30,Good,"Gloves, Respirator Mask, Chemical Suit, Chemical-resistant Gloves, Face Shield",Warehouse,Explosion Risk,MEDIUM RISK
Acetic Acid (CH₃COOH),29,42,Carbon Steel (coated),22,Fume Hood Ventilation,"Eye Wash Station Access, Safety Goggles",Outdoor Storage,Fire Hazard,MEDIUM RISK
Selenic Acid (H₂SeO₄),8,15,Stainless Steel,9,Low,"Lab Coat, Respirator Mask, Safety Boots, Chemical-resistant Gloves, Safety Goggles",Chemical Storage Room,Fire Hazard,LOW RISK
Acrylic Acid (C₃H₄O₂),11,26,Glass,2,Low,"Chemical-resistant Gloves, Lab Coat, Eye Wash Station Access",Chemical Storage Room,Toxic Gas Release,LOW RISK
Selenic Acid (H₂SeO₄),10,28,Borosilicate Glass,8,Poor,"Chemical Suit, Safety Goggles",Outdoor Storage,None,LOW RISK
Thiocyanic Acid (HSCN),51,38,Stainless Steel,13,Moderate,"Chemical Suit, Safety Boots",Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),8,20,Polypropylene,9,Low,Lab Coat,Hazardous Material Room,Explosion Risk,LOW RISK
Hydrochloric Acid (HCl),84,45,PTFE (Teflon-lined),50,Good,Gloves,Warehouse,Acid Burn,HIGH RISK
Lactic Acid (C₃H₆O₃),50,45,Carbon Steel (coated),98,Fume Hood Ventilation,Safety Boots,Cold Storage Unit,Toxic Gas Release,HIGH RISK
Peracetic Acid (C₂H₄O₃),26,26,Stainless Steel,25,Good,"Safety Boots, Face Shield, Respirator Mask, Safety Goggles",Cold Storage Unit,Explosion Risk,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),11,25,Carbon Steel (coated),3,Poor,"Lab Coat, Safety Goggles, Chemical Suit, Face Shield, Safety Boots",Hazardous Material Room,None,LOW RISK
Iodic Acid (HIO₃),62,75,Ceramic Containers,36,Low,"Safety Boots, Full Body Protective Suit",Warehouse,Container Leakage,HIGH RISK
Boric Acid (H₃BO₃),29,39,Ceramic Containers,17,Moderate,"Respirator Mask, Gloves, Safety Boots, Face Shield, Lab Coat",Cold Storage Unit,Explosion Risk,MEDIUM RISK
Caproic Acid (C₆H₁₂O₂),31,37,HDPE Plastic,38,Fume Hood Ventilation,"Lab Coat, Eye Wash Station Access, Gloves, Safety Boots",Outdoor Storage,Corrosion Damage,MEDIUM RISK
Perchloric Acid (HClO₄),30,35,Polypropylene,24,Good,"Respirator Mask, Gloves, Safety Boots, Eye Wash Station Access",Chemical Storage Room,Container Leakage,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),46,41,PVC (Polyvinyl Chloride),24,Fume Hood Ventilation,Safety Boots,Warehouse,Fire Hazard,MEDIUM RISK
Hydrofluoric Acid (HF),3,26,Polypropylene,3,Low,"Lab Coat, Gloves, Chemical Suit",Factory Floor,Corrosion Damage,LOW RISK
Bromic Acid (HBrO₃),23,29,Borosilicate Glass,38,Good,"Full Body Protective Suit, Face Shield, Eye Wash Station Access, Gloves",Chemical Storage Room,Toxic Gas Release,MEDIUM RISK
Acetic Acid (CH₃COOH),6,16,Carbon Steel (coated),14,Industrial Ventilation System,"Chemical-resistant Gloves, Full Body Protective Suit",Laboratory,Corrosion Damage,LOW RISK
Propionic Acid (C₃H₆O₂),159,101,PVC (Polyvinyl Chloride),92,Moderate,"Chemical Suit, Respirator Mask",Cold Storage Unit,Toxic Gas Release,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),53,25,PVC (Polyvinyl Chloride),16,Good,"Safety Goggles, Full Body Protective Suit, Chemical-resistant Gloves, Safety Boots",Outdoor Storage,None,MEDIUM RISK
Pyruvic Acid (C₃H₄O₃),446,91,Polypropylene,132,Moderate,"Gloves, Face Shield",Factory Floor,Acid Spill,CRITICAL RISK
Chloric Acid (HClO₃),40,54,Ceramic Containers,60,Moderate,"Full Body Protective Suit, Eye Wash Station Access, Respirator Mask",Warehouse,Toxic Gas Release,HIGH RISK
Boric Acid (H₃BO₃),25,31,Polypropylene,16,Low,"Chemical-resistant Gloves, Respirator Mask, Full Body Protective Suit, Gloves, Face Shield",Underground Storage,Toxic Gas Release,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),28,35,Ceramic Containers,36,Industrial Ventilation System,"Chemical Suit, Safety Goggles",Warehouse,Acid Burn,MEDIUM RISK
Succinic Acid (C₄H₆O₄),17,32,Stainless Steel,33,High,Respirator Mask,Underground Storage,Corrosion Damage,MEDIUM RISK
Iodic Acid (HIO₃),17,28,Ceramic Containers,39,Good,"Chemical-resistant Gloves, Gloves, Full Body Protective Suit, Chemical Suit, Safety Boots",Warehouse,Acid Spill,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),16,39,Glass,24,Moderate,"Respirator Mask, Chemical-resistant Gloves, Lab Coat, Eye Wash Station Access, Safety Goggles",Underground Storage,Toxic Gas Release,MEDIUM RISK
